tree	group	V1	V2	V3	V4	V5	V6
classic1_STATE_593650000	classic1	-37.4149676498433	17.384923879396	8.44219132066189	7.62463122378909	14.4894666750641	-7.55880629193593
classic1_STATE_595320000	classic1	-24.0877549199874	7.78954169726023	-24.0389226199197	18.6030045456428	-15.5642288621378	21.3183814274317
classic1_STATE_596990000	classic1	-30.6293742140039	20.1330666971952	20.5590438145653	-7.92160092788356	-27.6433526042902	-10.0739664138013
classic1_STATE_598660000	classic1	-26.0445073403287	18.8339328959162	9.36591117959627	2.74299248731011	16.1904451519517	-2.24600665844515
classic1_STATE_600330000	classic1	-30.953057403457	-25.4969930345585	-10.1594951934304	-30.3969675570596	-21.2081184315657	-17.2926057002619
classic1_STATE_602010000	classic1	-42.4358500148183	20.5533818384417	13.4497675150209	-3.85223013763693	1.90190303503886	7.21698456692516
classic1_STATE_603680000	classic1	-42.1585876970717	7.88366381897536	-17.4396390317322	39.7347823501201	1.02181766602781	-10.3044817929293
classic1_STATE_605350000	classic1	-42.1011440387686	2.38890844972985	-30.7260941481324	-2.7978718236398	0.297569595714814	-4.01915106534899
classic1_STATE_607020000	classic1	-39.756576847981	18.4123514280865	-18.896242136617	-5.3213543066842	11.2716766988153	-22.1541414497284
classic1_STATE_608700000	classic1	-27.4151364504722	17.1047543300712	7.49786032477279	29.2743060920861	-9.28555598715745	14.0098901164381
classic1_STATE_610370000	classic1	-21.4211354207781	-20.8968337175443	26.9501433952094	-5.18439005133721	4.25222365327927	17.6658131682428
classic1_STATE_612040000	classic1	-21.0453832471254	-20.8113733352291	30.1123457323907	-1.82613488907877	3.84861118253235	16.5774390787804
classic1_STATE_613710000	classic1	-15.9334398464798	1.28412024550398	-35.8497486165729	14.9091369386888	-19.7787820102798	22.6343345703549
classic1_STATE_615380000	classic1	-25.3681911156993	7.72373043112257	3.83045797377576	39.2849083249732	-7.61771546892408	-8.6984845657793
classic1_STATE_617060000	classic1	-15.3862352109417	10.3599124964216	-32.4528464128234	-15.3380726697889	-4.50209122436042	15.0935483817781
classic1_STATE_618730000	classic1	-23.883868720992	7.18221767210698	11.0150381023887	38.430810030397	-1.82451938590241	-7.98347947032714
classic1_STATE_620400000	classic1	-22.8247561657485	8.7292694651905	-3.90436601117104	-3.47063692737098	10.068994549079	8.00783453237198
classic1_STATE_622070000	classic1	-33.4229501640026	10.1113107782638	-29.2866444622463	19.6956186274212	-18.3640421416912	9.88246853353111
classic1_STATE_623750000	classic1	-34.5398276756982	12.4766927397399	6.91934964754809	27.0921621305302	-21.2509902724783	8.51791276807752
classic1_STATE_625420000	classic1	-37.127304464282	26.7014995032666	7.93231363288621	-20.9683552652869	-15.4268027363631	-20.4682200853637
classic1_STATE_627090000	classic1	-38.2737461958564	19.1081228005687	9.89537317261776	23.7594490454234	-5.28589203269614	18.9236536402813
classic1_STATE_628760000	classic1	-30.8365358851391	-12.4310939658152	10.3996763414106	-30.4338881757525	-24.9482022085389	-11.2473234922379
classic1_STATE_630430000	classic1	-37.1499149083935	24.157190421597	-16.6582803547212	-9.76003694742771	0.681818967532068	3.28502935675838
classic1_STATE_632110000	classic1	-33.2557568031934	15.1040470808864	-14.531215680059	-18.5155307873989	-16.2030576981323	-29.6443047383867
classic1_STATE_633780000	classic1	-33.2675172333716	7.38024281567876	-29.203312174518	-5.98854963568434	3.7842705224755	6.01057710234836
classic1_STATE_635450000	classic1	-47.5054962448745	15.3029637960658	6.89092712759111	27.6811904624163	-11.7401623305678	10.8716125206013
classic1_STATE_637120000	classic1	-45.8769578735311	-5.13563183268257	13.8739053193896	19.1293627123014	-45.441810565009	-8.38681811093333
classic1_STATE_638800000	classic1	-37.0878617262735	17.5600975829157	9.99324366553865	-3.10363422732593	8.36502207842129	7.33124082966089
classic1_STATE_640470000	classic1	-40.1150857174155	-8.43693420956138	-16.2660937656549	-17.797809233145	-4.72421825125625	8.1370446985581
classic1_STATE_642140000	classic1	-36.1652523770674	15.933343722407	-31.8059404399838	0.273041710250082	11.3128635168405	-20.6536034136676
classic1_STATE_643810000	classic1	-36.6034133736323	30.4141036202425	8.76894321514023	21.4821594568731	-16.246400930248	10.4566909383009
classic1_STATE_645480000	classic1	-31.8274937224965	15.1575414823132	13.051211918712	-3.46179625770821	7.66579598886144	-2.70997749777006
classic1_STATE_647160000	classic1	-30.0674968452485	14.5909933092357	12.1901147302988	-4.54433784738908	15.2273659689633	11.3337001409627
